ID,名称,介绍
106,魏延,字文长。受刘备重托任汉中太守。武艺高强，为蜀汉屡立战功。因为与诸葛亮有嫌隙，故在其死后反叛。但被获授锦囊妙计的杨仪等人杀死。
107,法正,字孝直，为刘备取蜀立下了大功。擅长谋略，向刘备进言攻打汉中，使曹操为之震动。后来夷陵之战时，众人都无法劝阻刘备，诸葛亮叹道∶「若法孝直在…」
108,伊籍,字机伯。原为刘表幕僚，曾向刘备透露的卢妨主和蔡瑁加害刘备的计谋。后改仕刘备，著有「蜀科」。此人机智伶俐，连孙权也叹服于他的能言善辩。
109,孙乾,字公祐，原是陶谦部下。陶谦死后，辅佐继任的刘备。作为刘备早期主要的参谋和外交官，多次建功。刘备入川后，他的待遇仅次于糜竺。
110,糜竺,字子仲，本是富商，在陶谦手下任别驾从事。陶谦死后，辅佐刘备。刘备入川后，他被任命为安汉将军，其位甚至在诸葛亮之上。
111,糜芳,字子方，糜竺之弟。任关羽的部下，镇守荆州南郡。听从傅士仁的劝说，背叛关羽，投降了东吴。后返回蜀国，被刘备追究罪责而处死。
112,简雍,字宪和，刘备部下。与刘备同乡，自刘备举兵起义就跟随身边，经常担任使者参谋，非常活跃。据说他性格沈静，处事淡然。刘备入川后，封他为昭德将军。
113,廖化,字元俭，关羽千里寻兄时收的部下。五虎将死后，他是为数不多的勇将之一，很受诸葛亮信赖。诸葛亮死后，他与姜维等人一起支撑蜀国。
114,刘封,刘备的养子。由于守卫上庸时，拒绝派兵增援被东吴围困、身陷绝境的关羽。因此激怒了刘备，遂于成都被斩。
115,关平,河北关定之子，关羽的义子。身为其义父的左右手转战南北，与关羽一起在麦城被杀。他性情稳重谦和，很受部下诸将的爱戴。
116,周仓,原为黄巾军余党，非常崇拜关羽。在卧牛山做强盗时，巧遇单骑走千里的关羽，于是跟随关羽，担任部将奋战沙场。关羽遇害后，他也自刎殉死。
117,严颜,蜀将。在刘璋手下众将中以勇猛著称，任巴西太守。顽强抵抗张飞的猛攻，在中计被俘后，受张飞的诚意打动而归降。以后成为老将黄忠的副将，建立了奇功。
118,马良,字季常，人称白眉马良。刘备入川后，他是关羽的主要谋士。他与诸葛亮交厚，尊亮为兄。力谏刘备不打夷陵，却不被采纳。后来诸葛亮南征时病死于蜀。
119,马谡,字幼常，马良之弟。才华外露，被诸葛亮当作接班人，但刘备临终说他言过其实不可大用。街亭之战时，因为纸上谈兵导致失败，被诸葛亮挥泪斩首。
120,王甫,字国山，蜀国随军司马。关羽进攻襄阳时，忠告关羽留神荆州的防守。关羽杀出麦城后，他死守麦城。但是不久得知关羽死讯，便从城楼跳下自杀。
121,沙摩可,蛮王，生得碧眼红脸。率兵帮助刘备进攻东吴，并于战斗中放箭射死了名将甘宁。陆逊火烧八百里连营后，率部败退的途中，被吴将周泰斩杀。
122,关兴,字安国，关羽的次子。在刘备调解下与张苞结为义兄弟。征吴时为报父仇而战，立下了大功，没有辱没名将之后的名声。诸葛亮给了他很高的评价。
123,张苞,张飞的长子。为报杀父之仇，参加了夷陵之战，立下了显赫的战功。诸葛亮对他和关兴寄予厚望，常常带在身边。参加北伐时，不幸落马重伤致死。
124,蒋琬,字公琰。冷静沉着，被诸葛亮认为是可担当国家重任的人才。诸葛亮死后任蜀国的尚书令，主管政事。
125,费祎,字文伟，诸葛亮的参谋。是颇有能力的文官，留守后方，支援北伐。诸葛亮死后，他继承遗志，与蒋琬一起支撑走向没落的蜀国。
126,马超,字孟起，马腾的长子。少年英武，被称为「锦马超」。为报杀父之仇而起兵攻曹，曾杀得曹操割须弃袍，但最终仍被击败。投奔刘备后，被封为蜀汉五虎将之一。
127,马岱,马超的堂弟。和马超一起归顺刘备，南征北战屡建战功，诸葛亮很赏识他的忠义和才干。诸葛亮死前，亲授锦囊妙计给他，杀掉了日后反叛的魏延。
128,王平,字子均。原是魏国的牙门将，因对蜀作战时不受上司徐晃重用，遂降蜀。南征、北伐中表现活跃。街亭之战时任马谡副将，持正确主张，却不被马谡采纳。
129,李严,字正方，原是刘璋部下，刘备入川时归顺刘备。其勇猛与黄忠不分高下，得到刘备的高度评价。与诸葛亮等人同为刘备托孤之臣。
130,吴懿,字子远，刘璋的义兄。刘备攻打西川时投降。后来任刘备的部下，参加了北伐。其妹（吴夫人）嫁给了刘备，生下刘理与刘永。
131,吴兰,蜀将。刘备入川后成为刘备部下，担任马超的副将与魏国作战，屡建战功。在斜谷之战中，与曹操之子曹彰交手，不敌被杀。
132,雷铜,刘璋手下大将。与吴懿等人率军与刘备军交战，被包围后投降。守备巴西时，英勇善战，抵抗来犯的魏将张郃。但后来中了埋伏，被张郃刺死。
133,刘琦,刘表的长子。遭到欲立刘琮为王的蔡夫人等人的排挤，感到处境危险，故求救于诸葛亮，诸葛亮以「申生在内则死，重耳在外而安」劝他驻守外地，才逃过劫难。
134,孟达,字子庆。刘备入川时，他担任内应，颇立功绩。后因不肯救助危急中的关羽，恐刘备处罚而降魏。深得曹丕的宠爱，被破格提拔。后谋反不成，为司马懿所杀。
135,关索,关羽的三子。荆州失陷时逃难养伤。诸葛亮南征时投奔从军，担任先锋。凭借父辈传下来的武勇，与蛮王孟获大战，立下了功劳。
136,刘禅,字公嗣，刘备的长子，蜀后主。昏愚而好酒色，因宠用宦官黄皓，导致国力衰退。魏军攻川时，不顾众人反对，自缚于车，出城投降。可说是昏君的代名词。
137,张嶷,字伯岐，蜀将。参加了诸葛亮的南征和北伐。后为救出姜维，被魏军射死。据史书记载，他在外交方面颇有贡献。平定了异民族，并得到他们的信赖。
138,姜维,字伯约。诸葛亮发现了他的才干，因而全力培养他，临死前还向他传授兵法，把蜀国的未来托付给他。他不负所望，至死都贯彻了诸葛亮的遗志。
139,张翼,字伯恭。本是刘璋部下，后来投降刘备。南征北伐时，都曾领军参加，表现活跃。车骑将军夏侯霸死后，与廖化分领其位，任左车骑将军。
140,孟获,南蛮王。刘备死后，率蛮兵十万，反叛蜀国。经过著名的「七擒七纵」后，终于归顺。之后诸葛亮仍然命他统治南蛮，自守疆土。
141,祝融,南蛮王孟获的妻子，是传说中火神祝融的后裔。善使飞刀，单挑中，曾生擒蜀将张嶷、马忠，但在乘胜追击时中计被俘。
142,孟优,南蛮王孟获之弟。帮助兄长抵抗诸葛亮，并将智者朵思大王引见给了遭到惨败的孟获。最终仍不敌诸葛亮的智谋，与其兄一起归顺，并发誓永不反叛。
143,刘辟,黄巾军大将。黄巾之乱被镇压后，与龚都一起率领残党盘踞在汝南。一直协助刘备并把汝南让给了刘备。后与曹军部将高览交战时被杀。
144,龚都,黄巾军大将。黄巾之乱被镇压后，率领余部盘踞在汝南。官渡之战时，协助袁绍和刘备，在曹军后方骚扰。后与曹军交战时，被夏侯渊所杀。
145,孙权,字仲谋，孙坚次子。继承父兄的伟业，统治江东。多谋善断，广泛提拔人才并尽其所能，因此取得赤壁之战的胜利。是吴王朝第一代皇帝。
146,周瑜,字公瑾，人称美周郎。东吴都督，奉孙策遗命辅佐年幼的孙权。智谋高远，是东吴的栋梁。在赤壁之战中，以五万破曹军八十三万大军，创造了以寡击众的杰出战例。
147,鲁肃,字子敬。一直主张联刘抗曹。赤壁之战时，辅佐周瑜联合刘备，打败了曹操。与周瑜关系很好。周瑜死后继任都督，肩负重任。
148,诸葛瑾,字子瑜，诸葛亮之兄，经鲁肃推举仕吴。为人敦厚诚实，因此深受孙权信任。孙策死后，劝孙权顺曹操而绝袁绍。后期为吴蜀修好而屡次出使蜀国。
149,吕蒙,字子明。原是一介武夫，受孙权教诲，学习文武之道，成长为智勇兼备的名将。鲁肃死后就任东吴都督，最早看出陆逊的才干，与陆逊合作，并杀死了关羽。
150,陆逊,字伯言，孙权的军师。用兵谋略不在前任军师周瑜、鲁肃、吕蒙之下。献计夺取荆州，击败关羽；夷陵之战任吴军统帅，击败了来势汹汹的刘备。
151,潘璋,字文珪。与朱然协力，生擒了关羽，并因此功获赏关羽的青龙偃月刀。后来被关兴追杀途中，恍惚中看到了关羽的亡灵，惊愕之际被关兴斩杀。
152,徐盛,孙权部下，他的胆大在东吴首屈一指。曹丕征吴战役中，用疑兵之计吓退曹军，为以后的胜利奠定了基础。不屈服于任何强敌，勇猛顽强，身经百战。
153,甘宁,字兴霸，是吴军首屈一指的勇将。曾仅率百骑夜袭曹营而无一伤亡，使孙权欢呼「曹操有张辽，吾有甘兴霸」，很得孙权信任。
154,凌统,字公绩，吴将凌操之子。与甘宁有杀父之仇，常想报复。后来与乐进单挑时，险些被斩，多亏甘宁相救，二人才终于和解，并结为生死之交。
155,周泰,字幼平，因勇猛得到孙权信赖。在宣城他为了护主，身负十二伤；后来在合淝战役中又救了孙权。孙权因此在宴席上将他身上的伤一一指与众人，盛赞其勇。
156,蒋钦,字公奕。与周泰一起归顺孙策。攻打南郡时任先锋，被曹仁击败，几乎被周瑜问罪斩首。征讨关羽时，指挥水军，包围关羽。
157,张昭,字子布，「江东二张」之一。与张纮一起被孙策聘用，长于内政。孙策临终对孙权说∶外事不决问周瑜，内事不决问张昭。孙权经常向他征求意见，视之如父。
158,陈武,字子烈，吴将。黄面赤眼，容貌怪异。孙策与刘繇交战时投奔孙策。在赤壁之战中，出任第四队大将出战。在濡须与魏将庞德交手，因战袍被树枝挂住，被庞德所杀。
159,庞统,字士元，人称凤雏。与诸葛亮齐名并同时辅佐刘备。取西川时任总指挥，为了胜过诸葛亮，不顾军情急躁冒进，使刘备受挫，自己也被射死在落凤坡。
160,黄盖,字公覆。自孙坚举兵即为其部下，江东三代老臣。在赤壁之战中，自献苦肉计诈降曹操，终使吴军火烧赤壁，大破曹军。他也因此扬名天下。
161,全琮,字子璜，吴将。在讨伐山越时立下大功，跟随陆逊迎击魏将曹休的大军，在诈降的周舫帮助下，获得大胜。
162,董袭,字元代，吴将。曾向孙策推举虞翻和名医华佗。在濡须大战中，虽顽强奋战，但由于战船被大风吹翻，落水溺死。孙权找到他的尸体后，厚葬了他。
163,韩当,字公义，东吴孙氏三代老将。参加了杨州进攻战、赤壁之战、进攻关羽和夷陵之战等众多战役，指挥东吴水军的一翼。
164,太史慈,字子义，原为刘繇部下。武艺高强，尤擅弓箭，曾与孙策单挑不分胜负。后被孙策俘获，感孙策的仁德而降，为东吴的建国立下大功。
165,丁奉,字承渊，东吴名将，与徐盛齐名。参加了赤壁之战等战役，后来杀死了专权的孙綝，升任大将军。在东吴后期发挥了重要的作用。
166,张纮,字子纲，著名的「江东二张」之一。具有敏锐的洞察力，被周瑜誉为有「经天纬地之才」。辅佐孙策和孙权，屡屡进谏。临终上表劝孙权迁都建业。
167,程普,字德谋，右北平土垠人。江东三代老臣。有计略，随孙坚孙策东征西讨，战功无数。为老将中最年长者，人呼程公。乐善好施。周瑜死后代南郡太守。演义里惯使铁脊蛇矛，赤壁之战任副都督，助周瑜胜曹操。
168,孙坚,字文台，吴郡富春人，孙武之后。随朱隽镇压黄巾，屡立战功，封长沙太守。后参与讨董联军，表现积极，数败董卓部队。进洛阳后修复皇陵。后与刘表交战，击败黄祖，却被敌士兵射杀。演义中有私匿玉玺的情节。
169,孙策,字伯符，吴郡富春人，孙坚长子。早期寄身于袁术，后与其反目，继承父亲的遗志，任用周瑜等人，平定了江东，打下了吴国的基础。二十六岁被刺客所杀，谥长沙桓王。小说中称“小霸王”，曾与太史慈斗战未分胜负。
170,袁绍,字本初，汝南汝阳人，名门之后。与何进合谋诛宦官，事泄出逃。诸侯伐董卓时任盟主。后趁机拿下韩馥的冀州，并大败公孙瓒。猜忌多疑，好谋无断，官渡之战中被曹军以少胜多打败，此后一蹶不振。
171,逢纪,字元图，河间鄚人。随背离董卓的袁绍出奔到冀州，深受信任，定计助袁绍占据冀州。与审配同领军事。官渡战败，谮言处死田丰。袁绍死后矫诏立袁尚，致兄弟相争，被袁尚遣往随袁谭军，后被袁谭所杀。
172,郭图,袁绍的谋臣。与其他谋士不和。官渡之战时持主战论，因为形势判断有误，导致袁军大败，又为开脱自己罪责而诬陷张郃、高览二将，导致二人叛变。袁绍死后，辅佐袁谭，抵抗曹军而战死。
173,许攸,字子远，袁绍的谋士。官渡之战时，因袁绍不信任他而投降以前的密友曹操，并带来了袁军囤粮于乌巢的重要情报，为曹操战胜袁绍立下了大功。
174,沮授,广平人。少有大志，先为韩馥别驾，劝韩馥防御袁绍未被采纳。后归袁绍，描绘战略图，封奋威将军。建议袁绍出兵迎天子，勿使各子各据一州，官渡对曹军持久战等，均未被采纳。郭图趁机进谗。军败后不降曹，被杀害。
175,审配,烈士
176,高览,河间鄚人。原是袁绍麾下大将。官渡之战时，因郭图谗言，遂焚攻具，与张郃一同投降曹操。演义中曾与许褚交手，不分胜负，封偏将军。出征汝南时三合斩刘辟，欲擒刘备时被赵云一枪刺死。民间称“河北四庭柱”之一。
177,颜良,并州新兴人，民间“河北四庭柱”之一，勇冠三军。虽骁勇但性急促狭，沮授称他不可独任。白马之战仓猝应战被关羽所杀。演义中斩杀欲刺袁绍的耿武，平定河北有功。白马之战斩宋宪、魏续，败徐晃，死于关羽刀下。
178,文丑,并州新兴人。民间“河北四庭柱”之一，勇冠三军。官渡时中曹操辎重诱兵计被杀。演义中斩杀欲刺袁绍的关纯，在磐河连败数将，险擒公孙瓒，与赵云不分胜负。延津时欲为颜良报仇。虽中计仍败张辽，徐晃，被关羽所杀。
179,田丰,字元皓，袁绍的谋士。博学多才，具有优秀军师的资质。但由于性格刚直而不能迎合袁绍。在官渡之战中，因主张打持久战激怒袁绍，被囚禁。
180,淳于琼,字仲简，颍川人。与袁绍、曹操同为西园八校尉之一，后随袁绍。曾劝阻迎奉献帝。官渡之战中为三都督之一，随颜良攻白马，失利而回。后运粮夜宿乌巢遭偷袭，战败被杀导致袁军崩溃。演义中好酒，醉后被割去耳鼻手指。
181,辛评,原是韩馥部下。韩馥逃亡后，他转而辅佐袁氏，任袁谭的参谋。出使曹操时，曹操劝他留下，他坚辞不从。但袁谭却因其弟辛毗已降曹而疑忌他，他因而气死。
182,袁谭,字显思，袁绍的长子。父亲死后，与伪造遗书而被立为继承人的小弟袁尚不和。兴兵攻打袁尚，试图恢复对袁家的统治权。遭到曹操进攻后被杀。
183,袁熙,字显奕，袁绍的次子。帮助其弟袁尚与兄袁谭争位，并与曹操交战。其妻甄氏是有名的美女，后被曹丕夺走为妻，后生曹睿。
184,袁尚,字显甫，袁绍的三子。因容貌英俊而甚得其父的喜爱，拟立为继承人。但是由于袁绍在正式任命他为继承人之前病故，导致内部不和，造成了袁家的迅速衰败。
185,高干,并州刺史，袁绍之侄。在袁绍官渡失利后出兵救助袁绍。后来在壶关举兵反曹，与曹操帐下名将李典、乐进等人交手，英勇善战，但最后失败。
186,辛毗,字佐治，辛评之弟，辅佐袁谭。袁氏灭亡后效力于曹操，颇受信任。司马懿在五丈原与诸葛亮对峙时，他送去了魏主曹睿的诏书，平息了愤怒的军心。
187,沮鹄,袁绍的幕僚沮授之子，效力于袁尚，守备邯郸。敌将张辽攻来，出战与张辽交手不敌，正要逃脱时被弓箭射中。
188,吕布,"字奉先，五原九原人。身材魁梧，膂力过人，擅长骑射，驰名并州,号称飞将。初属丁原，受董卓诱而杀丁投董。后在王允教唆下杀死董卓，自立诸侯，辗转立足徐州。因有勇无谋唯利是图，最终被手下出卖，戮于白门楼。"
189,魏续,直隶京兆人。吕布部将，转战各地。吕布被困下邳时与侯成、宋宪一起反叛，一并活捉陈宫，高顺等降曹。演义中后来在白马之战时见宋宪被颜良所斩，深知自己实力不济的情况下仍出阵为同伴报仇，但仅一回合即被斩杀。
190,宋宪,太原祁人，吕布的亲戚和部将。随吕布转战各地，在吕布疏远高顺后接管了高顺的兵权。在吕布被困下邳时与侯成、魏续一起反叛，一并活捉陈宫、高顺等，投降曹操。演义中后来在白马之战时单挑颜良，实力不济被斩。
191,高顺,东郡人。吕布手下一代名将。统七百余人，战无不胜，号“陷阵营”。清白威严，不喝酒不受馈赠。明智忠诚，斩叛乱的郝萌。常劝吕布熟虑，不被采纳，反遭疏远，兵权归宋宪，亦无所恨。被俘后一言不发昂然就义。
192,侯成,谯国谯人。吕布部将。随吕布转战各地，在吕布被困下邳时与宋宪、魏续一起反叛，一并活捉陈宫、高顺等，投降曹操。演义中反叛的原由是违反了吕布的禁酒令而被责打，怀恨在心，于是缚吕布投曹操。
193,曹性,陇西狄道人，吕布部将郝萌的手下。在郝萌受袁术唆使倒戈时反对郝萌，与之对战，斩下郝萌一臂，自己也被刺伤，被吕布誉为“健儿”。小说中在吕布军与曹兵交战时救高顺而射伤夏侯惇左目，后被夏侯惇搠于马下。
194,臧霸,又名奴寇，字宣高，泰山华人。原属陶谦，镇压黄巾有战功。后助吕布与曹操作战，联合各处山贼，很让曹操头痛。吕布灭亡后归顺曹操，屡立奇功，镇守青徐等地。曾破昌豨、孙权、吕范等。史称孝烈、气节之士。
195,陈宫,字公台，东郡人。性格刚烈，少与海内名士有交往。先随曹操，后跟吕布，但谏议都不被采纳。下邳大败后被俘，从容赴死。小说中有释放行刺董卓失败的曹操并与之同行的情节，因曹操滥杀无辜，鄙而弃之。
196,董卓,字仲颖，陕西临洮人。在边疆平定异族叛乱。参与镇压黄巾起义，屡败却升为前将军。趁京都大乱之际进京控制政权。废少帝，立献帝，行暴政，坏朝纲，天下大乱。后因王允设计，被吕布诛杀。史称其暴虐前所未有。
197,张济,武威祖厉人，张绣族父，董卓部下车骑将军，被遣往劫掠。卓死，同李傕、郭汜、樊稠等攻长安，败吕布，杀王允。因李郭樊诸将不和，前往调解。献帝往许都后，张济入荆州，攻穰城中流矢死。
198,郭汜,董卓部将。董卓被杀后，听从贾诩建议，率兵急袭长安，杀死王允等人，并与李傕共掌朝政。后来沦为山贼，被部下伍习所杀。
199,徐荣,董卓部将。追击遭到吕布伏兵的袭击后败逃的曹操，一箭射中曹操肩头，但被飞马赶到的夏侯惇刺死。
200,李傕,董卓爱将。董卓被杀之后，与郭汜一起率军以报仇为名，重占长安。杀王允，挟献帝，逐吕布，继续推行暴政。后来中了杨彪的离间计，与郭汜自相残杀。
201,李儒,陇西临洮人，汉郎中令，被董卓派去强行毒死少帝。演义中为董卓女婿和智囊，助纣为虐，屡献计助董卓掌大权，破诸侯。识破王允“连环计”，劝谏董卓但卓不听。董卓被杀后他卧病在家，被家仆捆绑出首，处斩。
202,樊稠,凉州人，董卓手下右将军。卓死，同李傕、郭汜、张济攻长安，败吕布，杀王允，揽朝廷。后因马腾、韩遂与李傕有隙互战，樊稠同李郭一起将其击败，樊稠追至陈仓，与韩遂交谈良久后罢兵。因此被李傕猜忌，不久被害。
203,华雄,沛国谯人，董卓手下的勇将。实际据考证名叶雄，“叶”与“华”繁体相近，故史籍误写。历史上被孙坚军打败枭首。演义中大破孙坚，并力斩鲍忠、祖茂、俞涉、潘凤等名将。后被关羽斩杀，民间流传“温酒斩华雄”。
204,李肃,字伟恭，五原人。任骑都尉，助吕布等袭击董卓，将其剿灭。后被派往征讨牛辅，战败，退守弘农，被吕布斩首。演义里先是董卓手下，曾劝吕布投靠，并为华雄出谋。
205,袁术,字公路，汝南汝阳人，袁绍的嫡弟。但兄弟不和。靠孙坚之力得南阳，奢淫征敛无度。后竟称帝，被曹操和吕布攻击兵败，欲“让帝”于袁绍，去青州依袁谭。死前思蜜水，闻“惟有血水”后呕血而死。
206,纪灵,山东人，袁术部将，曾带兵攻打刘备，在吕布调解下退兵。小说里描写成一员猛将，惯使六十五斤三尖两刃刀，与关羽单挑三十回合不分胜负。后袁术在北上投靠袁绍时遇刘备阻击，纪灵出战，十余合死于张飞矛下。
207,马腾,字寿成。西凉猛将，东汉名将马援之后。受献帝衣带诏书之托，与董承等十三人共立血书，誓杀曹操。事情败露后，被曹操诱到京城杀害。
208,韩遂,字文约。为了替义兄马腾报仇，与马腾之子马超共同起兵攻曹。但后来马超中了贾诩的离间计与他反目，他因此被迫降曹。
209,张鲁,字公祺，五斗米道的「师君」。在汉中建立了教派国家。遭曹操进攻后，把粮食封仓留给曹军。曹操感叹他的仁德，在他投降后厚待他。
210,张卫,五斗米道的教祖张鲁之弟。极力主张与曹操对战。后与曹军战于巴中，战而无功，被许褚斩杀。
211,阎圃,张鲁部下。担任参谋屡次献计。当张鲁听信杨松谗言欲杀庞德时，他力劝不成。张鲁投降后，他也被曹操封为列侯。
212,张绣,张济之侄。张济死后，他率军帮助刘表，与曹操交战。在军师贾诩的指导下，屡屡获胜。后来听从贾诩劝告，归顺了曹操，受到重用。
213,胡车儿,张绣部下勇士。出身异民族，张绣军第一豪杰。据说可以背负五百斤重物，一日行七百里。战曹操时，献计并亲自实施，把猛将典韦的铁戟偷来。
